word,category,priority
八十三,CSL,1
八十九,CSL,1
八十二,CSL,1
八十五,CSL,1
八十八,CSL,1
八十六,CSL,1
八十四,CSL,1
八千,CSL,1
八月,CSL,1
八点钟,CSL,1
八百,CSL,1
八边形,CSL,1
公元前,CSL,1
公升,CSL,1
公吨,CSL,1
六,CSL,1
六万,CSL,1
六十,CSL,1
六十一,CSL,1
六十七,CSL,1
六十万,CSL,1
六十三,CSL,1
六十九,CSL,1
六十二,CSL,1
六十五,CSL,1
六十八,CSL,1
六十六,CSL,1
六十四,CSL,1
六千,CSL,1
六月,CSL,1
六点钟,CSL,1
六百,CSL,1
六边形,CSL,1
关心,CSL,1
关心照顾,CSL,1
关系,CSL,1
兴奋,CSL,1
兴奋的,CSL,1
冬季,CSL,1
冰岛,CSL,1
冲击,CSL,1
冲动,CSL,1
冷漠,CSL,1
冷酷的,CSL,1
准时,CSL,1
凌晨一点钟,CSL,1
减少,CSL,1
几个,CSL,1
分，一分钟,CSL,1
创新的,CSL,1
利己主义,CSL,1
刺激,CSL,1
前夕,CSL,1
副词的,CSL,1
加大码,CSL,1
动机,CSL,1
助听器,CSL,1
勇敢的,CSL,1
勇气,CSL,1
包,CSL,1
匆促,CSL,1
匆忙,CSL,1
十,CSL,1
十一,CSL,1
十一月,CSL,1
十一点钟,CSL,1
十七,CSL,1
十万,CSL,1
十三,CSL,1
十九,CSL,1
十二,CSL,1
十二月,CSL,1
十二点钟,CSL,1
十五,CSL,1
十亿,CSL,1
十八,CSL,1
十六,CSL,1
十四,CSL,1
十年,CSL,1
十月,CSL,1
千克,CSL,1
千米,CSL,1
升级了的,CSL,1
午休,CSL,1
午夜,CSL,1
半个小时,CSL,1
卑鄙的,CSL,1
单位,CSL,1
占优势的,CSL,1
印度,CSL,1
印度尼西亚,CSL,1
卵形,CSL,1
历书,CSL,1
压倒,CSL,1
厌倦,CSL,1
厌恶,CSL,1
厌烦,CSL,1
厘米,CSL,1
厚,CSL,1
去年,CSL,1
友好的,CSL,1
双胞胎,CSL,1
反应时间,CSL,1
反省,CSL,1
发抖,CSL,1
叔叔,CSL,1
受够了,CSL,1
受难,CSL,1
叛乱的,CSL,1
口渴,CSL,1
口渴的,CSL,1
可怕的,CSL,1
可怜的人,CSL,1
可爱的,CSL,1
台灯,CSL,1
吃,CSL,1
合成色,CSL,1
吉他,CSL,1
同情,CSL,1
同时,CSL,1
同时代的,CSL,1
同时发生的,CSL,1
名字,CSL,1
后悔,CSL,1
吝啬的,CSL,1
听力,CSL,1
听力障碍的,CSL,1
听话,CSL,1
周期,CSL,1
周末,CSL,1
和蔼的,CSL,1
品脱,CSL,1
哭泣,CSL,1
唇读,CSL,1
商店,CSL,1
善良,CSL,1
喇叭,CSL,1
喜悦,CSL,1
喜欢,CSL,1
喝,CSL,1
嘈杂的,CSL,1
嘴,CSL,1
嘴唇,CSL,1
四,CSL,1
四万,CSL,1
四分之一,CSL,1
四十,CSL,1
四十一,CSL,1
四十七,CSL,1
四十万,CSL,1
四十三,CSL,1
四十九,CSL,1
四十二,CSL,1
四十五,CSL,1
四十八,CSL,1
四十六,CSL,1
四十四,CSL,1
四千,CSL,1
四月,CSL,1
四点钟,CSL,1
四百,CSL,1
回顾,CSL,1
困惑的,CSL,1
固执,CSL,1
国家,CSL,1
圆,CSL,1
圆的,CSL,1
圆锥体,CSL,1
圆锥的,CSL,1
土豆,CSL,1
圣诞节,CSL,1
在…之前,CSL,1
地址,CSL,1
坏,CSL,1
坚定不移,CSL,1
坚强的,CSL,1
坚持不懈,CSL,1
坠入爱河,CSL,1
垂涎,CSL,1
城市,CSL,1
城镇,CSL,1
堂兄弟姊妹,CSL,1
增加,CSL,1
增长,CSL,1
墨西哥,CSL,1
壮观的,CSL,1
复活节,CSL,1
多情的,CSL,1
多重的,CSL,1
夜晚,CSL,1
大,CSL,1
大为惊讶,CSL,1
大声喊叫,CSL,1
大笑,CSL,1
大胆,CSL,1
大胆的,CSL,1
大部分的,CSL,1
大量,CSL,1
大量的,CSL,1
天堂,CSL,1
天天,CSL,1
天才,CSL,1
天真烂漫的,CSL,1
天真的,CSL,1
太阳,CSL,1
失望的,CSL,1
头发直立,CSL,1
夹克衫,CSL,1
奇怪的,CSL,1
奖金,CSL,1
女孩,CSL,1
女朋友,CSL,1
好,CSL,1
好奇的,CSL,1
妈妈,CSL,1
妒忌,CSL,1
姐妹,CSL,1
婴儿,CSL,1
嫉妒的,CSL,1
孤立的,CSL,1
学期,CSL,1
学校,CSL,1
守财奴,CSL,1
安静的,CSL,1
完全筋疲力尽,CSL,1
完美的,CSL,1
实用主义的,CSL,1
宠物,CSL,1
害怕,CSL,1
害怕的,CSL,1
害羞的,CSL,1
家,CSL,1
家长手语培训,CSL,1
容积,CSL,1
宽容,CSL,1
宽度,CSL,1
宽敞的,CSL,1
宽的,CSL,1
富,CSL,1
富裕的,CSL,1
对不起,CSL,1
对角线,CSL,1
小,CSL,1
小时,CSL,1
小的,CSL,1
少许,CSL,1
尖锐的,CSL,1
尴尬,CSL,1
尺寸,CSL,1
屈光度,CSL,1
屈辱,CSL,1
屏幕,CSL,1
崇敬,CSL,1
工作,CSL,1
巨大的,CSL,1
已经,CSL,1
希望,CSL,1
帮助,CSL,1
帽子,CSL,1
平常的,CSL,1
平方米,CSL,1
平静的,CSL,1
年,CSL,1
年龄差异,CSL,1
年龄限制,CSL,1
幸福,CSL,1
幸福的,CSL,1
幼儿,CSL,1
幼稚的,CSL,1
幽默感,CSL,1
广阔的,CSL,1
庄严的,CSL,1
庞大的,CSL,1
延缓的,CSL,1
延误,CSL,1
延长,CSL,1
开始,CSL,1
弯曲的,CSL,1
弱,CSL,1
当前,CSL,1
当时,CSL,1
很小的,CSL,1
很少,CSL,1
很少数,CSL,1
很少的,CSL,1
徒劳的,CSL,1
循环的,CSL,1
微小的,CSL,1
微波炉,CSL,1
心不在焉的,CSL,1
心境,CSL,1
心怀不满,CSL,1
忍受,CSL,1
忍耐,CSL,1
忙碌的,CSL,1
忠实的,CSL,1
忧虑,CSL,1
忧郁的,CSL,1
快乐,CSL,1
快乐主义者的,CSL,1
快乐的,CSL,1
快速地,CSL,1
快速的,CSL,1
怀敌意的,CSL,1
怀疑,CSL,1
怀疑的,CSL,1
怀疑论,CSL,1
态度,CSL,1
急忙,CSL,1
总是,CSL,1
总统,CSL,1
恋爱,CSL,1
恐怖,CSL,1
恐惧的,CSL,1
恐龙,CSL,1
恨,CSL,1
恶棍,CSL,1
悔改,CSL,1
悲伤,CSL,1
悲伤的,CSL,1
悲伤难过,CSL,1
悲剧的,CSL,1
悲痛,CSL,1
情绪,CSL,1
惊吓,CSL,1
惊慌,CSL,1
惊讶,CSL,1
惯用右手的,CSL,1
想家,CSL,1
想要,CSL,1
愁苦,CSL,1
愉快,CSL,1
愉悦,CSL,1
意外事件,CSL,1
意大利,CSL,1
意思,CSL,1
愚蠢的,CSL,1
感到惊讶的,CSL,1
感到满意的,CSL,1
感激,CSL,1
感觉,CSL,1
感觉的,CSL,1
感谢的,CSL,1
愤怒,CSL,1
愤怒的,CSL,1
愤恨,CSL,1
慌忙,CSL,1
慌忙的,CSL,1
慷慨的,CSL,1
憎恨,CSL,1
懒惰,CSL,1
懒惰的,CSL,1
懦弱的,CSL,1
成熟的,CSL,1
我,CSL,1
我们,CSL,1
战斗,CSL,1
战斗机,CSL,1
房屋,CSL,1
手,CSL,1
手提包,CSL,1
手臂,CSL,1
手语,CSL,1
手语传播网,CSL,1
手语名字,CSL,1
手语歌,CSL,1
手语词典,CSL,1
手语诗,CSL,1
才能,CSL,1
打扰,CSL,1
扰乱社会的,CSL,1
投射的武器,CSL,1
抱,CSL,1
担心,CSL,1
拉力,CSL,1
拒绝,CSL,1
拖延,CSL,1
持续时间,CSL,1
挫折,CSL,1
捣乱的,CSL,1
接吻,CSL,1
接吻 亲吻,CSL,1
接近全部,CSL,1
推迟,CSL,1
撒尿,CSL,1
收缩,CSL,1
攻击,CSL,1
放声大哭,CSL,1
放松,CSL,1
放肆无礼的,CSL,1
敏感的,CSL,1
敢,CSL,1
散发香味,CSL,1
散布,CSL,1
敬畏,CSL,1
数字式手表，数字式钟表,CSL,1
数量,CSL,1
整洁的,CSL,1
斑马,CSL,1
新的,CSL,1
方格,CSL,1
旅游,CSL,1
无数的,CSL,1
无聊的,CSL,1
无趣的,CSL,1
无辜的,CSL,1
日出,CSL,1
日历,CSL,1
日常生活,CSL,1
日期,CSL,1
日落,CSL,1
早,CSL,1
早餐,CSL,1
时代,CSL,1
时刻,CSL,1
时期,CSL,1
时钟,CSL,1
时间,CSL,1
时间表,CSL,1
时髦的,CSL,1
明天,CSL,1
明年,CSL,1
明智,CSL,1
明智的,CSL,1
星期一,CSL,1
星期三,CSL,1
星期二,CSL,1
星期五,CSL,1
星期六,CSL,1
星期四,CSL,1
星期日,CSL,1
春季感冒,CSL,1
昨天,CSL,1
是的,CSL,1
昼夜,CSL,1
普通的,CSL,1
曲线,CSL,1
更多的,CSL,1
更短的,CSL,1
最后,CSL,1
最终,CSL,1
最近的,CSL,1
月份,CSL,1
有关的,CSL,1
有决心的,CSL,1
有天赋的,CSL,1
有害的,CSL,1
有教养的,CSL,1
有时候,CSL,1
有礼貌的,CSL,1
有经验,CSL,1
有罪,CSL,1
有表现力的,CSL,1
有趣的,CSL,1
有魅力的,CSL,1
朋友,CSL,1
服装,CSL,1
服装华丽的,CSL,1
期望,CSL,1
期间,CSL,1
未来 将来,CSL,1
松的,CSL,1
极大的,CSL,1
极好的,CSL,1
极小的,CSL,1
果断,CSL,1
果酱,CSL,1
柔弱的,CSL,1
树,CSL,1
校正,CSL,1
栩栩如生的,CSL,1
桌子,CSL,1
棕色的,CSL,1
椅子,CSL,1
椭圆,CSL,1
欢喜,CSL,1
欢天喜地,CSL,1
欢迎,CSL,1
欺凌弱小者,CSL,1
歇斯底里的,CSL,1
正方形,CSL,1
正方形的,CSL,1
正派的,CSL,1
残忍的,CSL,1
残酷的,CSL,1
母语,CSL,1
每周,CSL,1
每天,CSL,1
每年的,CSL,1
每月,CSL,1
毫米,CSL,1
气泡,CSL,1
永久的,CSL,1
永恒,CSL,1
永恒的,CSL,1
永远,CSL,1
永远地,CSL,1
汽车,CSL,1
沙发,CSL,1
没有一个,CSL,1
没有什么,CSL,1
法国,CSL,1
波兰,CSL,1
活蹦乱跳,CSL,1
流行的,CSL,1
浅的,CSL,1
浅色,CSL,1
测量,CSL,1
测量仪器,CSL,1
浏览,CSL,1
浪漫的人,CSL,1
浮躁不安的,CSL,1
消极的，负面的,CSL,1
淘气的,CSL,1
淡紫色,CSL,1
淡红色的,CSL,1
深思的,CSL,1
清洁的,CSL,1
清澈的,CSL,1
温和的,CSL,1
温顺,CSL,1
满意,CSL,1
满的 满足 饱了,CSL,1
满足,CSL,1
漠不关心,CSL,1
激动的,CSL,1
激励,CSL,1
激发,CSL,1
激情,CSL,1
火,CSL,1
火车,CSL,1
火车站,CSL,1
灯光,CSL,1
灰色,CSL,1
灵感,CSL,1
炉子,CSL,1
炫耀的,CSL,1
烦恼,CSL,1
热情的,CSL,1
焦虑,CSL,1
焦虑的,CSL,1
然后,CSL,1
照片,CSL,1
燃烧,CSL,1
爱,CSL,1
爱国的,CSL,1
爱国者,CSL,1
爱尔兰,CSL,1
爱情,CSL,1
爱慕虚荣,CSL,1
爱管闲事的人,CSL,1
父亲,CSL,1
片段,CSL,1
牙痛,CSL,1
特大号,CSL,1
特征,CSL,1
特殊的,CSL,1
狗,CSL,1
独特的,CSL,1
猛烈的,CSL,1
猫,CSL,1
现代的,CSL,1
现在,CSL,1
现在的,CSL,1
球形,CSL,1
理智的,CSL,1
理解力强的,CSL,1
瑞典,CSL,1
瑞士,CSL,1
生存,CSL,1
生日,CSL,1
生气,CSL,1
生气了,CSL,1
生气的,CSL,1
用功的,CSL,1
电视机,CSL,1
电话,CSL,1
男子气,CSL,1
男孩,CSL,1
男朋友,CSL,1
疯狂的,CSL,1
疲倦,CSL,1
疲倦的,CSL,1
疲劳,CSL,1
疲惫不堪的,CSL,1
疼,CSL,1
疼痛,CSL,1
痛,CSL,1
痛苦,CSL,1
痴迷的,CSL,1
瘦的,CSL,1
白俄罗斯,CSL,1
白天,CSL,1
白色,CSL,1
百万,CSL,1
盲的,CSL,1
盲聋人,CSL,1
直到,CSL,1
直线的,CSL,1
看不清的,CSL,1
真实的,CSL,1
眼镜,CSL,1
睡,CSL,1
瞬间,CSL,1
短,CSL,1
短暂,CSL,1
短暂的,CSL,1
码,CSL,1
确切的,CSL,1
确实的,CSL,1
社会的,CSL,1
福利,CSL,1
秋天,CSL,1
秒,CSL,1
积极的,CSL,1
称赞,CSL,1
穷,CSL,1
空闲的,CSL,1
突然,CSL,1
窄,CSL,1
立即,CSL,1
立陶宛,CSL,1
站立,CSL,1
竞争,CSL,1
第一千的,CSL,1
第七,CSL,1
第七十,CSL,1
第三十个的,CSL,1
第三的,CSL,1
第九,CSL,1
第九十,CSL,1
第二,CSL,1
第二十,CSL,1
第八,CSL,1
第八十的,CSL,1
第六,CSL,1
第六十,CSL,1
第十,CSL,1
第十一,CSL,1
第十七,CSL,1
第十三的,CSL,1
第十个的,CSL,1
第十九,CSL,1
第十二,CSL,1
第十五的,CSL,1
第十八的,CSL,1
第十六的,CSL,1
第十四的,CSL,1
第四,CSL,1
第四十,CSL,1
等候,CSL,1
等着，等待（动词）,CSL,1
米,CSL,1
米黄色,CSL,1
粗俗的,CSL,1
粗糙的,CSL,1
粗鲁的,CSL,1
精疲力尽,CSL,1
精致的,CSL,1
紧张的,CSL,1
紧急,CSL,1
紧的,CSL,1
紫色,CSL,1
累了,CSL,1
红色,CSL,1
约定,CSL,1
纸,CSL,1
经常,CSL,1
绝望,CSL,1
绝望的,CSL,1
综合数据,CSL,1
绿色,CSL,1
缩小,CSL,1
缺乏,CSL,1
罐，陶盆,CSL,1
网络,CSL,1
网络浏览软件,CSL,1
罚下地狱 该死,CSL,1
美丽的,CSL,1
美国,CSL,1
羞耻,CSL,1
羞耻的,CSL,1
羡慕,CSL,1
群,CSL,1
群众,CSL,1
耳聋,CSL,1
聋,CSL,1
聋人幽默,CSL,1
聋人文化,CSL,1
聋人社群,CSL,1
聋奥运会,CSL,1
聪明的,CSL,1
肩膀,CSL,1
肮脏的,CSL,1
胆小的,CSL,1
胸罩,CSL,1
脖子 颈,CSL,1
脸红,CSL,1
脾气不好的,CSL,1
腰,CSL,1
自信,CSL,1
自信的,CSL,1
自发性,CSL,1
自大的,CSL,1
自我中心的,CSL,1
自我主义者,CSL,1
自我形象,CSL,1
自我心理分析,CSL,1
自我意志,CSL,1
自我意识,CSL,1
自我控制,CSL,1
自我欺骗,CSL,1
自我激励,CSL,1
自我矛盾,CSL,1
自欺,CSL,1
自私,CSL,1
自私的,CSL,1
自豪,CSL,1
舒适的,CSL,1
舞蹈,CSL,1
色度,CSL,1
色调明暗,CSL,1
节约的,CSL,1
芬兰,CSL,1
花,CSL,1
花花公子,CSL,1
苗条的,CSL,1
苦的,CSL,1
苦难,CSL,1
英国,CSL,1
英寸,CSL,1
英格兰,CSL,1
茶匙,CSL,1
草,CSL,1
荷兰,CSL,1
著名的,CSL,1
葡萄牙,CSL,1
蓝色的,CSL,1
蔑视,CSL,1
薄薄的,CSL,1
虚荣,CSL,1
蜡笔,CSL,1
螺旋或线圈,CSL,1
螺旋状的,CSL,1
血,CSL,1
行李,CSL,1
表面的,CSL,1
衰老,CSL,1
袜子,CSL,1
被宠坏的,CSL,1
裙子，短裙,CSL,1
裤子,CSL,1
西班牙,CSL,1
要,CSL,1
规格,CSL,1
觉得,CSL,1
警觉性,CSL,1
计时,CSL,1
计算机,CSL,1
认真的,CSL,1
讨厌,CSL,1
讨厌的,CSL,1
许多,CSL,1
讽刺,CSL,1
词典,CSL,1
诚信,CSL,1
诚实,CSL,1
谦逊,CSL,1
谨慎的,CSL,1
负有责任的,CSL,1
贪婪,CSL,1
贪婪的,CSL,1
走,CSL,1
超大号,CSL,1
超过,CSL,1
跨度,CSL,1
身体,CSL,1
轮胎,CSL,1
轻的,CSL,1
轻蔑,CSL,1
轻视,CSL,1
迄今,CSL,1
过去,CSL,1
过多的,CSL,1
过量的,CSL,1
远的,CSL,1
连续的,CSL,1
迟到,CSL,1
迟到的,CSL,1
迟钝的,CSL,1
迪斯科舞厅,CSL,1
迷恋,CSL,1
迷惑,CSL,1
适应的,CSL,1
适应行为,CSL,1
透明,CSL,1
透明的,CSL,1
逐步升级,CSL,1
逐渐的,CSL,1
逻辑的,CSL,1
道德,CSL,1
遗憾,CSL,1
邪恶的,CSL,1
重,CSL,1
重量,CSL,1
金发的,CSL,1
金色,CSL,1
鉴定的,CSL,1
钟塔,CSL,1
钟点,CSL,1
钢琴,CSL,1
银,CSL,1
锋利的,CSL,1
长,CSL,1
长方形,CSL,1
问号,CSL,1
问题，疑问句,CSL,1
间隔,CSL,1
阿姨,CSL,1
附加的,CSL,1
难以置信的,CSL,1
难过,CSL,1
难过的,CSL,1
雄心勃勃的,CSL,1
零,CSL,1
震惊的,CSL,1
青铜,CSL,1
非常,CSL,1
非洲,CSL,1
靠近的,CSL,1
面包圈,CSL,1
面颊,CSL,1
顽固的,CSL,1
预期,CSL,1
频率,CSL,1
颜色,CSL,1
颠覆,CSL,1
颤抖,CSL,1
食品,CSL,1
饥饿的,CSL,1
饿,CSL,1
香味,CSL,1
香肠,CSL,1
马,CSL,1
马上,CSL,1
驯养,CSL,1
骄傲的,CSL,1
高,CSL,1
高兴,CSL,1
高兴的,CSL,1
高度,CSL,1
魅力,CSL,1
鱼,CSL,1
鸡皮疙瘩,CSL,1
麦克风,CSL,1
麻烦的,CSL,1
黄昏,CSL,1
黄色,CSL,1
黎明,CSL,1
黑暗,CSL,1
黑暗的,CSL,1
黑色的,CSL,1
